Country,City
Japan,Okinawa
Japan,Osaka
Japan,Kyoto
Japan,Tokyo
Japan,Kochi
Italy,Salerno
Italy,Sardinia
Italy,Milan
Spain,Bilbao
Spain,Marbella
Spain,Costa del Sol
Spain,Barcelona
Spain,Salamanca
Spain,Santiago de Compostela
Portugal,Madeira
Portugal,Algarve
Portugal,Lisbon
Morocco,Marrakech
Morocco,Rabat
Morocco,Chefchaouen
Morocco,Fès
United Kingdom,London
France,Paris
France,Savoie
France,Var
Costa Rica,Papagayo Peninsula
Vietnam,Hội An
Vietnam,Mũi Né
Colombia,Barranquilla
Colombia,Medellín
Argentina,Buenos Aires
New Zealand,Christchurch
Australia,Port Douglas
Australia,Hobart
Australia,Melbourne
Australia,Perth
India,Kochi
India,Indian Himalayas
India,Bangalore
Iceland,Akureyri
Croatia,Rijeka
Georgia,Tbilisi
Ireland,Killarney
Ireland,Dublin
Greece,Paros
Egypt,
Norway,Tromsø
Lithuania,Kaunas
Czech Republic,Prague
Bulgaria,Sofia
Poland,Krakow
Hungary,Budapest
Albania,Tirana
Bosnia,Sarajevo
Germany,Münster
China,Guangzhou
Taiwan,Taipei
Turkey,Istanbul
Malta,St. Julian's
Cape Verde,Sal
Brazil,Manaus
Tanzania,
South Korea,Jeju Island
Saudi Arabia,AlUla
Scotland,Inverness
Scotland,Scottish Highlands
Faroe Islands,
Finland,Oulu
Belgium,Brussels
Grenada,St. George's
Canada,St. John's
Canada,Prince Edward County
Panama,Panama City
Dominican Republic,La Altagracia
Palau,Koror
Barbados,
Cook Islands,
Zimbabwe,Victoria Falls
South Africa,
Hong Kong,Hong Kong
Slovenia,Ljubljana
Mexico,Mexico City
Denmark,Copenhagen
Kyrgyzstan,
Oman,
Sri Lanka,
Bolivia,Salar de Uyuni
USA,"Big Sky, Montana"
USA,Las Vegas
USA,Chicago
USA,Boston
USA,"Hilo, Hawaii"
USA,"Asheville, North Carolina"
USA,Kansas City
USA,"Deer Valley, Utah"
USA,"San Juan Mountains, Colorado"
USA,"Sarasota, Florida"
USA,Great Smoky Mountains
USA,"Finger Lakes, New York"
USA,"Traverse City, Michigan"
USA,Philadelphia
USA,"Vail, Colorado"
USA,Florida Keys
USA,"Idyllwild, California"
USA,North Carolina Mountains
